bloque,nombre,regimen,estatus,plan_o_programa,periodo_de_asignacion,ano,actividad,unidad,planeado,ejercido
A-0001,A-0001-6M - Campo Abkatun,Asignacion,Vigente,Extraccion,nan,2015,GASTOS OPERACION,MMUSD,7.388429,14.369354
A-0001,A-0001-6M - Campo Abkatun,Asignacion,Vigente,Extraccion,nan,2015,INVERSION,MMUSD,3.740976,356.375899
A-0001,A-0001-6M - Campo Abkatun,Asignacion,Vigente,Extraccion,nan,2016,GASTOS OPERACION,MMUSD,3.086306,11.903099
A-0001,A-0001-6M - Campo Abkatun,Asignacion,Vigente,Extraccion,nan,2016,INVERSION,MMUSD,3.086306,546.130571
A-0001,A-0001-6M - Campo Abkatun,Asignacion,Vigente,Extraccion,nan,2017,GASTOS OPERACION,MMUSD,1.028769,35.219254
A-0001,A-0001-6M - Campo Abkatun,Asignacion,Vigente,Extraccion,nan,2017,INVERSION,MMUSD,125.977383,441.340211
A-0001,A-0001-6M - Campo Abkatun,Asignacion,Vigente,Extraccion,nan,2018,GASTOS OPERACION,MMUSD,0.654671,1.508317
A-0001,A-0001-6M - Campo Abkatun,Asignacion,Vigente,Extraccion,nan,2018,INVERSION,MMUSD,181.624408,504.044437
A-0001,A-0001-6M - Campo Abkatun,Asignacion,Vigente,Extraccion,nan,2019,GASTOS OPERACION,MMUSD,25.403208,44.716918
A-0001,A-0001-6M - Campo Abkatun,Asignacion,Vigente,Extraccion,nan,2019,INVERSION,MMUSD,431.772812,348.935572
A-0001,A-0001-6M - Campo Abkatun,Asignacion,Vigente,Extraccion,nan,2020,GASTOS OPERACION,MMUSD,20.0585,72.749604
A-0001,A-0001-6M - Campo Abkatun,Asignacion,Vigente,Extraccion,nan,2020,INVERSION,MMUSD,181.802307,206.511828
A-0001,A-0001-6M - Campo Abkatun,Asignacion,Vigente,Extraccion,nan,2021,GASTOS OPERACION,MMUSD,19.046789,3.692031
A-0001,A-0001-6M - Campo Abkatun,Asignacion,Vigente,Extraccion,nan,2021,INVERSION,MMUSD,462.157282,245.945932
A-0001,A-0001-6M - Campo Abkatun,Asignacion,Vigente,Extraccion,nan,2022,GASTOS OPERACION,MMUSD,39.495733,3.046303
A-0001,A-0001-6M - Campo Abkatun,Asignacion,Vigente,Extraccion,nan,2022,INVERSION,MMUSD,322.451212,197.928311
A-0001,A-0001-6M - Campo Abkatun,Asignacion,Vigente,Extraccion,nan,2023,GASTOS OPERACION,MMUSD,35.880368,3.593785
