bloque,nombre,periodo,petroleo_mmb,gas_natural_sin_nitrogeno_mmpcd,gas_natural_mmpcd,condensado_mbd,agua_mbd,agua,pozos_productores_gas,pozos_productores_petroleo,pozos_productores_condensado
A-0001,A-0001-6M - Campo Abkatun,2025-01-01,10.612647,8.868861,9.47781,,0.937213,13,13.0,13.0,
A-0001,A-0001-6M - Campo Abkatun,2024-12-01,10.413475,8.981744,9.598444,,1.021089,13,13.0,13.0,
A-0001,A-0001-6M - Campo Abkatun,2024-11-01,10.08128,8.985974,9.602964,,0.942462,13,13.0,13.0,
A-0001,A-0001-6M - Campo Abkatun,2024-10-01,9.824574,9.610002,10.086085,,0.905554,13,13.0,13.0,
A-0001,A-0001-6M - Campo Abkatun,2024-09-01,10.009938,6.973922,7.412592,,1.366378,13,13.0,13.0,
A-0001,A-0001-6M - Campo Abkatun,2024-08-01,9.829445,6.924555,7.360119,,0.855307,13,13.0,13.0,
A-0001,A-0001-6M - Campo Abkatun,2024-07-01,9.214745,9.73883,10.351416,,0.663083,13,13.0,13.0,
A-0001,A-0001-6M - Campo Abkatun,2024-06-01,9.019954,9.620802,10.225965,,0.607375,13,13.0,13.0,
A-0001,A-0001-6M - Campo Abkatun,2024-05-01,8.503093,9.027682,9.595536,,1.217869,13,13.0,13.0,
A-0001,A-0001-6M - Campo Abkatun,2024-04-01,7.454064,8.46339,8.99575,,0.994283,13,13.0,13.0,
A-0001,A-0001-6M - Campo Abkatun,2024-03-01,7.45356,8.426742,9.01644,,0.900805,13,13.0,13.0,
A-0001,A-0001-6M - Campo Abkatun,2024-02-01,8.430384,8.747326,9.135416,,0.893963,13,13.0,13.0,
A-0001,A-0001-6M - Campo Abkatun,2024-01-01,8.687771,7.949874,8.396696,,0.742997,13,13.0,13.0,
A-0001,A-0001-6M - Campo Abkatun,2023-12-01,7.835865,5.365818,8.271631,,0.759704,12,12.0,12.0,
A-0001,A-0001-6M - Campo Abkatun,2023-11-01,8.640243,7.96513,12.278579,,1.134575,13,13.0,13.0,
A-0001,A-0001-6M - Campo Abkatun,2023-10-01,9.063425,8.643781,13.324748,,1.174244,13,13.0,13.0,
A-0001,A-0001-6M - Campo Abkatun,2023-09-01,9.420854,9.05951,13.965611,,1.314873,13,13.0,13.0,
A-0001,A-0001-6M - Campo Abkatun,2023-08-01,9.830429,9.356859,14.423987,,0.921921,13,13.0,13.0,
A-0001,A-0001-6M - Campo Abkatun,2023-07-01,9.920739,9.410668,14.506936,,0.995969,13,13.0,13.0,
A-0001,A-0001-6M - Campo Abkatun,2023-06-01,10.224387,9.454542,14.57457,,1.834377,13,13.0,13.0,
A-0001,A-0001-6M - Campo Abkatun,2023-05-01,10.0169,9.358343,14.426274,,2.520734,13,13.0,13.0,
A-0001,A-0001-6M - Campo Abkatun,2023-04-01,9.455936,8.997455,13.86995,,1.675185,13,13.0,13.0,
A-0001,A-0001-6M - Campo Abkatun,2023-03-01,9.151838,8.807908,13.577756,,1.015281,13,13.0,13.0,
A-0001,A-0001-6M - Campo Abkatun,2023-02-01,9.634208,9.368634,14.44214,,0.86137,13,13.0,13.0,
A-0001,A-0001-6M - Campo Abkatun,2023-01-01,10.178775,10.351224,15.956842,,0.880142,13,13.0,13.0,
A-0001,A-0001-6M - Campo Abkatun,2022-12-01,10.226968,10.577568,16.305761,,1.247133,13,13.0,13.0,
A-0001,A-0001-6M - Campo Abkatun,2022-11-01,10.150005,10.428111,16.075366,,1.29845,12,12.0,12.0,
A-0001,A-0001-6M - Campo Abkatun,2022-10-01,10.164212,10.466343,16.134303,,1.447135,12,12.0,12.0,
A-0001,A-0001-6M - Campo Abkatun,2022-09-01,10.893373,11.161167,17.205404,,1.320196,12,12.0,12.0,
A-0001,A-0001-6M - Campo Abkatun,2022-08-01,10.494746,10.877217,16.767682,,1.43985,12,12.0,12.0,
A-0001,A-0001-6M - Campo Abkatun,2022-07-01,10.46086,10.883399,16.777213,,1.574088,12,12.0,12.0,
