id,fecha,bloque,nombre,categoria,petroleo_mmb,gas_mmmpc
1,2016-01-01,A-0001,A-0001-6M - Campo Abkatun,1P,22.226983,25.34667
2,2016-01-01,A-0002,A-0002-3M - Campo Acuatempa,1P,1.06997,0.91146
3,2016-01-01,A-0003,A-0003-3M - Campo Agave,1P,1.870137,3.673603
4,2016-01-01,A-0004,A-0004-5M - Campo Agua Fria,1P,20.449744,32.361166
5,2016-01-01,A-0006,A-0006-3M - Campo Aguacate,1P,0.338486,0.117697
6,2016-01-01,A-0007,A-0007-3M - Campo Ahuatepec,1P,1.398516,1.547777
7,2016-01-01,A-0008,A-0008-4M - Campo Akal,1P,768.445342,605.908259
8,2016-01-01,A-0010,A-0010-2M - Campo Alamo San Isidro,1P,0.127789,0.118754
9,2016-01-01,A-0016,A-0016-3M - Campo Angostura,1P,0.434277,0.136656
10,2016-01-01,A-0018,A-0018-2M - Campo Apertura,1P,0.90269,5.141879
11,2016-01-01,A-0019,A-0019-3M - Campo Arabe,1P,0.256541,1.215763
12,2016-01-01,A-0021,A-0021-2M - Campo Aral,1P,0.428075,2.481321
13,2016-01-01,A-0022,A-0022-3M - Campo Arcabuz,1P,4.416995,23.213162
14,2016-01-01,A-0023,A-0023-3M - Campo Arcos,1P,2.865217,20.858788
15,2016-01-01,A-0025,A-0025-2M - Campo Aris,1P,0.799652,4.158936
16,2016-01-01,A-0026,A-0026-2M - Campo Arquimia,1P,0.146067,0.975592
17,2016-01-01,A-0027,A-0027-3M - Campo Arroyo Prieto,1P,1.865991,1.397029
18,2016-01-01,A-0029,A-0029-2M - Campo Artesa,1P,9.837004,8.41273
19,2016-01-01,A-0031,A-0031-2M - Campo Atun,1P,1.856149,11.507273
20,2016-01-01,A-0032,A-0032-3M - Campo Ayatsil,1P,315.273068,35.871835
21,2016-01-01,A-0033,A-0033-2M - Campo Ayin,1P,38.764039,10.830158
22,2016-01-01,A-0034,A-0034-3M - Campo Ayocote,1P,15.651732,11.072081
23,2016-01-01,A-0035,A-0035-4M - Campo Bacab,1P,16.515947,4.509737
24,2016-01-01,A-0036,AE-0036-3M - Campo Bacal,1P,2.975911,4.496945
25,2016-01-01,A-0037,A-0037-2M - Campo Bagre,1P,3.869096,7.812338
26,2016-01-01,A-0039,A-0039-M - Campo Balam,1P,96.154645,26.064506
27,2016-01-01,A-0040,A-0040-2M - Campo Barajas,1P,0.142056,0.767375
28,2016-01-01,A-0041,A-0041-2M - Campo Barunda,1P,0.136978,0.712412
29,2016-01-01,A-0042,A-0042-3M - Campo Batab,1P,8.310015,4.475219
30,2016-01-01,A-0043,A-0043-2M - Campo Bato,1P,0.560373,2.606257
31,2016-01-01,A-0044,A-0044-3M - Campo Bayo,1P,0.486921,2.976135
32,2016-01-01,A-0045,A-0045-3M - Campo Bedel,1P,12.00815,10.036121
33,2016-01-01,A-0046,A-0046-3M - Campo Bellota,1P,43.433046,95.466669
34,2016-01-01,A-0047,A-0047-2M - Campo Blasillo,1P,9.294902,31.841932
35,2016-01-01,A-0049,A-0049-3M - Campo Bolontiku,1P,16.826285,35.275218
36,2016-01-01,A-0050,A-0050-3M - Campo Bricol,1P,14.58311,17.034212
37,2016-01-01,A-0051,A-0051-3M - Campo Brillante,1P,0.513569,0.202464
38,2016-01-01,A-0053,A-0053-3M - Campo Caan,1P,15.619356,35.797461
39,2016-01-01,A-0054,A-0054-3M - Campo Cabeza,1P,1.794499,8.442247
40,2016-01-01,A-0055,A-0055-3M - Campo Cacahuatengo,1P,1.655138,1.827494
41,2016-01-01,A-0057,A-0057-4M - Campo Cactus,1P,4.925147,9.690862
42,2016-01-01,A-0060,A-0060-3M - Campo Canon,1P,1.54732,6.945648
43,2016-01-01,A-0061,A-0061-M - Campo Caparroso-Pijije-Escuintle,1P,21.412842,39.66799
44,2016-01-01,A-0063,A-0063-M - Campo Cardenas,1P,51.889636,121.97921
45,2016-01-01,A-0064,A-0064-2M - Campo Caristay,1P,0.0,0.0
46,2016-01-01,A-0065,A-0065-2M - Campo Carpa,1P,0.834625,0.088084
47,2016-01-01,A-0067,A-0067-2M - Campo Castarrical,1P,3.565775,3.793576
48,2016-01-01,A-0068,A-0068-2M - Campo Castell,1P,0.021641,0.112553
49,2016-01-01,A-0071,A-0071-3M - Campo Cauchy,1P,26.583938,138.575195
50,2016-01-01,A-0072,A-0072-3M - Campo Caudaloso,1P,0.269847,2.185884
51,2016-01-01,A-0073,A-0073-2M - Campo Cehualaca,1P,0.014815,0.08439
52,2016-01-01,A-0074,A-0074-3M - Campo Cerro del Carbon,1P,0.319244,0.550314
53,2016-01-01,A-0075,A-0075-3M - Campo Cerro Nanchital,1P,0.603556,0.067644
54,2016-01-01,A-0077,A-0077-2M - Campo Cervelo,1P,0.198997,1.329114
55,2016-01-01,A-0078,A-0078-3M - Campo Chac,1P,12.036103,4.626119
56,2016-01-01,A-0079,A-0079-3M - Campo Chancarro,1P,2.566143,13.34633
57,2016-01-01,A-0081,A-0081-3M - Campo Chapul,1P,3.215323,14.873156
58,2016-01-01,A-0082,A-0082-2M - Campo Che,1P,2.994411,11.9414
59,2016-01-01,A-0083,A-0083-2M - Campo Chiapas-Copano,1P,15.285592,34.693376
60,2016-01-01,A-0084,A-0084-2M - Campo Chichimantla,1P,0.118467,0.039624
61,2016-01-01,A-0085,A-0085-2M - Campo Chiconcoa,1P,0.015536,0.010286
62,2016-01-01,A-0086,A-0086-2M - Campo Chilapilla,1P,0.733371,3.349398
63,2016-01-01,A-0087,A-0087-3M - Campo Chinchorro,1P,21.737037,38.01581
64,2016-01-01,A-0088,A-0088-2M - Campo Chipilin,1P,0.862533,1.12617
65,2016-01-01,A-0089,A-0089-4M - Campo Chuc,1P,49.018839,44.286402
66,2016-01-01,A-0090,A-0090-3M - Campo Chuhuk,1P,33.256961,35.202763
67,2016-01-01,A-0092,A-0092-3M - Campo Cinco Presidentes,1P,12.295639,15.451229
68,2016-01-01,A-0094,A-0094-6M - Campo Coapechaca,1P,47.514488,61.167719
69,2016-01-01,A-0095,A-0095-M - Campo Cobo,1P,3.667915,19.07657
